Restaurant_Name,Rating,Area,Dishes,Amount,Location,Restaurant_Discount,discount_value,final_bill
Tereza Beach House By Sly Granny,4.3,Nerul,Multicuisine,1600,goa,20,720.00,880.00
Fat Fish Anjuna,4.0,Anjuna,Multicuisine,1500,goa,10,525.00,975.00
Big Fat Sandwich,5.0,Anjuna,Cafe,1200,goa,10,420.00,780.00
Uptown,4.2,Candolim,Multicuisine,1200,goa,30,660.00,540.00
Café De Port By Radisson Resort Goa Baga,4.9,Arpora,Multicuisine,2200,goa,30,1210.00,990.00
The Boho Box,2.0,Calangute Baga Road,Multicuisine,800,goa,10,280.00,520.00
Spice Mantraa,4.6,Candolim,Multicuisine,1200,goa,25,600.00,600.00
Urban Indian,5.0,Arpora,Indian,1100,goa,20,495.00,605.00
Rio Cafe Bar,4.8,Calangute,Continental,1000,goa,25,500.00,500.00
Backdrop Community Bar & Kitchen,4.0,Calangute,Multicuisine,1000,goa,30,550.00,450.00
Meraki Roof Top,4.0,Le Seasons Resort,Multicuisine,1200,goa,30,660.00,540.00
Cafe De Port - Alfresco,5.0,Arpora,Multicuisine,2200,goa,25,1100.00,1100.00
Kava - Fairfield by Marriott Calangute,5.0,Fairfield by Marriott Goa Calangute,Multicuisine,1000,goa,25,500.00,500.00
Bar Asia,5.0,Novotel Goa Shrem Hotel,Finger Food,1500,goa,25,750.00,750.00
Popistro,5.0,Calangute,Indian,500,goa,20,225.00,275.00
Pirates Deck,4.0,Saligao,Indian,1000,goa,25,500.00,500.00
CHY Lounge & Bar,4.0,Novotel Goa Resorts & Spa,Finger Food,1200,goa,25,600.00,600.00
Julep,4.0,Calangute Baga Road,Multicuisine,2500,goa,25,1250.00,1250.00
Aur Jalsa,5.0,Calangute Baga Road,"Indian, Rajasthani",4500,goa,20,2025.00,2475.00
Urban Jungle,5.0,Saligao,"North Indian, Continental",1200,goa,20,540.00,660.00
Southi,4.6,Candolim,South Indian,700,goa,10,245.00,455.00
Aamchi - Maharashtrian Kitchen & Bar,5.0,Calangute,Maharashtrian,1200,goa,15,480.00,720.00
Jolene by the Sea,3.1,Anjuna,Multicuisine,2000,goa,0,0.00,2000.00
Mamagoto,4.2,Panaji,Pan Asian,1500,goa,20,675.00,825.00
G-Shot Coffee Roastery & Cafe,4.4,Assagao,"Juices, Shakes",1100,goa,0,0.00,1100.00
Olive Bar and Kitchen,4.5,Vagator,"European, Pizza",2000,goa,15,800.00,1200.00
The Little Place,4.0,Candolim,Cafe,600,goa,15,240.00,360.00
Richita,4.0,Calangute,"Indian, Multicuisine",800,goa,15,320.00,480.00
Goa Gossips,4.0,Arpora,Multicuisine,1000,goa,15,400.00,600.00
Sessions,4.7,Hard Rock Hotel Goa,"Beverages, Indian",2000,goa,10,700.00,1300.00
Bistro Sun & Sea,5.0,Calangute,Goan,1000,goa,10,350.00,650.00
Cafe Meu Lar by Barista,5.0,Panaji,"Coffee, Cafe",300,goa,40,195.00,105.00
Ziba,4.7,Baga,Multicuisine,800,goa,10,280.00,520.00
Harman Punjabi,4.0,Arpora,North Indian,500,goa,10,175.00,325.00
Tonic Bar,4.3,Hard Rock Hotel Goa,Multicuisine,2000,goa,10,700.00,1300.00
Casita Multi-Cuisine Restaurant,4.0,Bardez,Multicuisine,1500,goa,10,525.00,975.00
Gypsea Beach Club,2.5,Anjuna Beach,Multicuisine,1700,goa,10,595.00,1105.00
Aangan,4.4,Panaji,"Goan, Modern Indian",800,goa,10,280.00,520.00
Nomad Pizza,4.0,Anjuna,"Beverages, Italian",1200,goa,40,780.00,420.00
Mehek - Tandoor Works,4.1,Colva,Multicuisine,700,goa,25,350.00,350.00
Bonita Goa,5.0,Arossim Beach,European,2000,goa,10,700.00,1300.00
Jamun,4.3,Assagao,"North Indian, Seafood, South Indian, Beverages, Goan, Indian",1800,goa,20,810.00,990.00
Chapter Two,5.0,Calangute,North Indian,700,goa,0,0.00,700.00
