Restaurant_Name,Rating,Area,Dishes,Amount,Discount
Reflect - Bistro & Kitchen,4.9,"C Scheme, Jaipur","Cocktail Menu, Multicuisine",₹ 1400 for two approx.,25% Off :Payeazy
Townsend - Bar & Kitchen,4.4,"Adarsh Nagar, Jaipur",Multicuisine,₹ 1300 for two approx.,15% Off + 25% Off
Lusty Lettuce,4.0,"Ashok Nagar, Jaipur",Continental,₹ 950 for two approx.,20% Off + 25% Off
Delizia,5.0,"Ashok Nagar, Jaipur","Continental, Desserts, Pizza, Pasta, Fusion, Coffee",₹ 600 for two approx.,15% Off + 25% Off
Olio Dugout with Rajasthan Royals,5.0,"Lal Kothi, Jaipur","Pizza, Pasta, Burgers",₹ 400 for two approx.,30% Off + 25% Off
The Lamppost,4.3,"C Scheme, Jaipur",European,₹ 700 for two approx.,25% Off + 25% Off
Nest by Noir at Bird Park,4.8,"Bani Park, Jaipur",Continental,₹ 900 for two approx.,10% Off + 25% Off
Surya Mahal,4.2,"MI Road, Jaipur  | View All(2) Outlets",Multicuisine,₹ 1000 for two approx.,10% Off + 25% Off
The Lounge,4.8,Intercontinental Jaipur,"Cocktail Menu, Multicuisine",₹ 1500 for two approx.,25% Off + 25% Off
Henry's The Pub,4.3,"Hotel Park Prime, Jaipur","Finger Food, Cocktail Menu",₹ 2000 for two approx.,30% Off + 25% Off
Nebulae,4.4,"Bais Godam, Jaipur",Multicuisine,₹ 1500 for two approx.,25% Off + 25% Off
Grand Chanakya,2.9,"Leisure Inn Grand Chanakya, Jaipur",Rajasthani,₹ 1300 for two approx.,30% Off + 25% Off
#BC,4.2,"Bani Park, Jaipur",Multicuisine,₹ 800 for two approx.,20% Off + 25% Off
Tea Affair,5.0,"C Scheme, Jaipur","Beverages, Fast Food",₹ 350 for two approx.,10% Off + 25% Off
Nouba Kitchen and Bar,4.8,"C Scheme, Jaipur",Pan Asian,₹ 2000 for two approx.,15% Off + 25% Off
Brown Sugar,4.3,"Bais Godam, Jaipur  | View All(12) Outlets","Beverages, Fast Food",₹ 400 for two approx.,20% Off + 25% Off
Miroh,3.3,"C Scheme, Jaipur",Multicuisine,₹ 1650 for two approx.,15% Off + 25% Off
The Vital Spark,4.0,"Sodala, Jaipur",Multicuisine,₹ 800 for two approx.,20% Off + 25% Off
Chill - Nirwana Hometel,3.7,"Nirwana Hometel, Jaipur","Cocktail Menu, Finger Food",₹ 1400 for two approx.,25% Off + 25% Off
Oasis,4.5,"C Scheme, Jaipur",Multicuisine,₹ 1400 for two approx.,30% Off + 25% Off
Sagar Ratna,4.2,"C Scheme, Jaipur  | View All(3) Outlets",South Indian,₹ 800 for two approx.,10% Off + 25% Off
Souza Lobo - Since 1932,4.3,"Calangute, North Goa",Goan,₹ 1300 for two approx.,25% Off
Noah,3.5,"Ozran Beach Road , Goa","European, Seafood, Sushi, Continental",₹ 1500 for two approx.,25% Off
Tanjore Tiffin Room,4.7,"Anjuna, North Goa","Biryani, Finger Food, South Indian, Tamil Nadu",₹ 1000 for two approx.,25% Off
Clara (Beach Haven),2.3,"Vagator, North Goa",Multicuisine,₹ 1500 for two approx.,25% Off
